model,query,image_id,transform,level,label,cosine
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,brightness,2.0,brightness_2x,0.945235
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,brightness,3.0,brightness_3x,0.921483
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,blur,0.5,blur_0.5px,0.989804
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,blur,1.0,blur_1px,0.93415
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,blur,2.0,blur_2px,0.792493
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,blur,4.0,blur_4px,0.589815
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,saturation,0.2,saturation_0.2x,0.997257
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,saturation,0.4,saturation_0.4x,0.998086
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,saturation,0.7,saturation_0.7x,0.999408
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,saturation,1.3,saturation_1.3x,0.999426
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,saturation,1.7,saturation_1.7x,0.998128
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,saturation,2.5,saturation_2.5x,0.993578
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,hue,-0.3,hue_-0.3,0.996077
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,hue,-0.15,hue_-0.15,0.997741
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,hue,0.15,hue_0.15,0.99818
resnet18,3,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Sneakers and Athletic Shoes/Vans/7382137.91679.jpg,hue,0.3,hue_0.3,0.996633
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,rotation,5.0,rotation_5deg,0.960813
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,rotation,10.0,rotation_10deg,0.909194
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,rotation,20.0,rotation_20deg,0.85621
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,rotation,45.0,rotation_45deg,0.792127
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,rotation,90.0,rotation_90deg,0.853947
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,rotation,180.0,rotation_180deg,0.840891
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,crop,0.9,crop_0.9x,0.955809
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,crop,0.8,crop_0.8x,0.911242
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,crop,0.7,crop_0.7x,0.872765
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,crop,0.5,crop_0.5x,0.766143
resnet18,4,archive/ut-zap50k-images-square/ut-zap50k-images-square/Shoes/Sneakers and Athletic Shoes/ASICS/7786226.287014.jpg,crop,0.3,crop_0.3x,0.733603
